[13/01/2025 20:51:00] --> GM: ADM [268477788], Target: [no-target], Action: [admin_admin], Params: [] 
[13/01/2025 20:51:51] --> GM: ADM [268477788], Target: [no-target], Action: [admin_admin], Params: [] 
[13/01/2025 20:51:53] --> GM: ADM [268477788], Target: [no-target], Action: [admin_admin2], Params: [] 
[13/01/2025 20:51:54] --> GM: ADM [268477788], Target: [no-target], Action: [admin_show_characters], Params: [ 0] 
[13/01/2025 20:51:56] --> GM: ADM [268477788], Target: [no-target], Action: [admin_character_info], Params: [ ADM] 
[13/01/2025 20:51:57] --> GM: ADM [268477788], Target: [ADM], Action: [admin_setclass], Params: [] 
[13/01/2025 20:52:07] --> GM: ADM [268477788], Target: [ADM], Action: [admin_setclass], Params: [ 93] 
[13/01/2025 20:52:10] --> GM: ADM [268477788], Target: [ADM], Action: [admin_admin], Params: [] 
[13/01/2025 20:52:11] --> GM: ADM [268477788], Target: [ADM], Action: [admin_move_to], Params: [] 
[13/01/2025 20:52:12] --> GM: ADM [268477788], Target: [ADM], Action: [admin_admin], Params: [] 
[13/01/2025 20:52:13] --> GM: ADM [268477788], Target: [ADM], Action: [admin_admin2], Params: [] 
[13/01/2025 20:52:14] --> GM: ADM [268477788], Target: [ADM], Action: [admin_show_characters], Params: [ 0] 
[13/01/2025 20:52:14] --> GM: ADM [268477788], Target: [ADM], Action: [admin_character_info], Params: [ ADM] 
[13/01/2025 20:52:16] --> GM: ADM [268477788], Target: [ADM], Action: [admin_show_skills], Params: [] 
[13/01/2025 20:52:17] --> GM: ADM [268477788], Target: [ADM], Action: [admin_remove_all_skills], Params: [] 
[13/01/2025 20:52:59] --> GM: ADM [268477788], Target: [Clarissa], Action: [admin_admin], Params: [] 
[13/01/2025 20:53:00] --> GM: ADM [268477788], Target: [Clarissa], Action: [admin_move_to], Params: [] 
[13/01/2025 20:53:01] --> GM: ADM [268477788], Target: [Clarissa], Action: [admin_help], Params: [ tele/towns.htm] 
[13/01/2025 20:53:01] --> GM: ADM [268477788], Target: [Clarissa], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[13/01/2025 20:53:05] --> GM: ADM [268477788], Target: [Clarissa], Action: [admin_move_to], Params: [ 79768 146559 -3525] 
[13/01/2025 20:53:58] --> GM: ADM [268477788], Target: [Graham], Action: [admin_admin], Params: [] 
[13/01/2025 20:54:05] --> GM: ADM [268477788], Target: [Graham], Action: [admin_admin], Params: [] 
[13/01/2025 20:54:06] --> GM: ADM [268477788], Target: [Graham], Action: [admin_move_to], Params: [] 
[13/01/2025 20:54:08] --> GM: ADM [268477788], Target: [Graham], Action: [admin_help], Params: [ tele/towns.htm] 
[13/01/2025 20:54:08] --> GM: ADM [268477788], Target: [Graham], Action: [admin_help], Params: [ tele/towns/giran.htm] 
[13/01/2025 20:54:09] --> GM: ADM [268477788], Target: [Graham], Action: [admin_move_to], Params: [ 82698 148638 -3473] 
[13/01/2025 20:54:32] --> GM: ADM [268477788], Target: [Nortien], Action: [admin_admin], Params: [] 
[13/01/2025 20:54:34] --> GM: ADM [268477788], Target: [Nortien], Action: [admin_itemcreate], Params: [] 
[13/01/2025 20:54:44] --> GM: ADM [268477788], Target: [ADM], Action: [admin_create_item], Params: [ 9840 3000] 
[13/01/2025 20:54:47] --> GM: ADM [268477788], Target: [ADM], Action: [admin_itemcreate], Params: [] 
[13/01/2025 20:54:53] --> GM: ADM [268477788], Target: [ADM], Action: [admin_create_item], Params: [ 9839 3000] 
[13/01/2025 20:54:54] --> GM: ADM [268477788], Target: [ADM], Action: [admin_itemcreate], Params: [] 
[13/01/2025 20:55:02] --> GM: ADM [268477788], Target: [ADM], Action: [admin_create_item], Params: [ 9838 3000] 
[13/01/2025 20:57:43] --> GM: ADM [268477788], Target: [ADM], Action: [admin_itemcreate], Params: [] 
[13/01/2025 20:57:46] --> GM: ADM [268477788], Target: [ADM], Action: [admin_create_item], Params: [ 9446] 
[13/01/2025 20:58:35] --> GM: ADM [268477788], Target: [ADM], Action: [admin_itemcreate], Params: [] 
[13/01/2025 20:58:38] --> GM: ADM [268477788], Target: [ADM], Action: [admin_create_item], Params: [ 9966] 
[13/01/2025 20:58:44] --> GM: ADM [268477788], Target: [Pagan Temple], Action: [admin_move_to], Params: [ -16123 -36325 -10720] 
[13/01/2025 21:00:49] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_res], Params: [] 
[13/01/2025 21:00:49] --> GM: ADM [268477788], Target: [Zombie Worker], Action: [admin_kill], Params: [] 
